Id;Precio;Activo;Stock;Codigo;Descripcion;TagID;MedidaID
;;;0;1007084701235;Monster;1;1
;;;;7790895000218;Coca Retornable;;
;;;;7790895000225;Sprite Retornable;;
;;;;7790895000270;Lata Sprite;;
;;;;7790895000331;Fanta Retornable;;
;;;;7790895000782;Coca Medio;;
;;;;7790895000997;Coca Descartable;;
;;;;7790895001000;Sprite Descartable;;
;;;;7790895001598;Coca Retornable;;
;;;;7790895003288;Aquarius Pomelo Grande;;
;;;;7790895003295;Aquarius Pera Grande;;
;;;;7790895003301;Aquarius Manzana Grande;;
;;;;7790895006029;Powerade Azul Grande;;
;;;;7790895006036;Powerade Manzana Grande;;
;;;;7790895007385;Crush Lima Limon;;
;;;;7790895007392;Crush Pomelo;;
;;;;7790895067570;Coca Zero Descartable;;
;;;;7790895067617;Coca Zero Retornable;;
;;;;7790895067716;Fanta Retornable;;
;;;;7790895640018;Powerade Manzana Medio;;
;;;;7790895640476;Aquarius Pera;;
;;;;7790895640483;Aquarius Manzana;;
;;;;7790895640490;Aquarius Pomelo;;
;;;;7790895642081;Lata Coca Mini;;
;;;;7790895642463;Lata Sprite Mini;;
;;;;7790895643507;High C Naranja;;
;;;;7790895643835;Ades Manzana;;
;;;;7790895646348;Coca Mini;;
;;;;7790895646737;Cepita Fresh Naranja;;
;;;;7790895646775;Cepita Fresh Pomelo;;
;;;;7790895647369;Cepita Fresh Naranja Medio;;
;;;;7790895647376;Cepita Fresh Pomelo Medio;;
;;;;7791293030555;Sedal Shampoo;;
;;;;7791293030661;Sedal Acondicionador;;
;;;;7791293041148;Desodorante Axe;;
;;;;77941558;Master Común;;
;;;;77900883;Red Point Común;;
;;;;77960894;Dolchester Común;;
;;;;77910066;Lucky Strike Box;;
;;;;77977038;Lucky Mentolado;;
;;;;77976505;Lucky  Chico;;
;;;;77976994;Lucky Mentolado Chico;;
;;;;77953513;Chester Común;;
;;;;77953483;Chester Chico;;
;;;;77953964;Chester Mentolado Chico;;
;;;;77955418;Rothman Chico;;
;;;;77918482;Marlboro Box;;
;;;;77940315;Marlboro Chico;;
;;;;77912879;Philips Morris Común;;
;;;;77940735;Philips Morris Mentolado;;
;;;;77913418;Philips Morris Chico;;
;;;;7730104034283;Tabaco Cerrito Chocolate;;
;;;;77953957;Chester Mentolado;;
;;;;77971913;Philips Mentolado Chico;;
;;;;7790895009679;Agua Bidon King;;
;;;;7790895064135;Agua King;;
;;;;7794626996764;Toallita Lina con Alas;;
;;;;7790940233240;Protector Diario Doncella;;
;;;;7790770002528;Toallita Nocturna Calypso;;
;;;;7794626995958;Protector Diario Lina;;
;;;;2782770002801;Toallita Calypso Incontinente;;
;;;;7791274187742;Desodorante Algabo Foot;;
;;;;30052765;OCB Premium;;
;;;;7791293038056;Jabon Suave;;
;;;;7791293037615;Jabon Lux;;
;;;;7702026176334;Tampones Mini;;
;;;;7702026176341;Tampones Regular;;
;;;;7790940003034;Algodón Doncella;;
;;;;7798347080061;Candela LED Lampara;;
;;;;4525154020019;Chupete Lactal;;
;;;;7798155939988;Colita para pelo Blanca/Negra;;
;;;;7798155939995;Colita para pelo Color;;
;;;;7798151630452;Frasco Esteril;;
;;;;7500435161510;Gillette Prestobarba 2 Filos;;
;;;;7798051530265;Tetina para Mamadera;;
;;;;4008321653116;Osram Lamparita;;
;;;;7791014001369;Preservativo Tulipan;;
;;;;7798256376040;Cepillo de Dientes Javalí;;
;;;;6910021007206;Cepillo de Dientes Colgate;;
;;;;7790400030457;Eccole Pegamento;;
;;;;7896211826521;Tenedores Simonagio;;
;;;;7896211826514;Cucharas Simonagio;;
;;;;01077923666200621725030010212099378LPZA;Guantes de Latex Medium;;
;;;;01077923666201471725050010213105136LPZA;Guantes de Latex Large;;
;;;;7792009011561;Gasa Syra;;
;;;;7798011110070;Azufre en Barra;;
;;;;7790590000841;Fosforos Tres Patitos;;
;;;;7794440045914;Guantes Plumitas;;
;;;;8004200128702;Guantes Mapa;;
;;;;7791274005237;Isopos;;
;;;;7793100111556;Pasta Dental Colgate;;
;;;;7793100130083;Pasta Dental Odol;;
;;;;77940704;Rexona Odorono;;
;;;;7791293022567;Desodorante Rexona Men V8;;
;;;;7791293041582;Desodorante Rexona Men 72hs;;
;;;;7791293022505;Desodorante Rexona Men Hombre;;
;;;;1797163047735;Desodorante Rexona 72hs;;
;;;;7791293032443;Desodorante Rexona Active Motion;;
;;;;7791293032375;Desodorante Rexona Antibacterial;;
;;;;7791293033259;Desodorante Dove Go Fresh;;
;;;;6961882757908;Esponja Cocina;;
;;;;7793350102304;Washington Negro;;
;;;;7793350000471;Washington Premium Marron;;
;;;;7793350993032;Washington Marron Militar;;
;;;;77900302;Repelente Off Crema;;
;;;;7790520009494;Repelente Off Aerosol;;
;;;;7791293025025;Shampoo Sedal Sachet;;
;;;;7791293025032;Acondicionador Sedal Sachet;;
;;;;7794050001102;Royer Doreé Hair Spray;;
;;;;7798124240787;Bicarbonato de Sodio;;
;;;;7793008005452;Issue Activador en Crema;;
;;;;7793008003274;Issue Coloración en Crema Rojo Intenso;;
;;;;7793008001669;Issue Coloración en Crema Rubio Loiro;;
;;;;7793008001614;Issue Coloración en Crema Negro;;
;;;;7793008001928;Issue Polvo Decolorante;;
;;;;7798068824333;Agua Oxigenada Sanadrog;;
;;;;7794050007241;Crema Oxidante Doreé;;
;;;;7794050007258;Crema Oxidante Hierba Profesional;;
;;;;7797196017709;Paño Extra Absorvente;;
;;;;7794050008071;Crema Hidratante con Aloe Vera;;
;;;;8433000015156;Corta Uñas;;
;;;;7794050005070;Quita Esmalte Doreé;;
;;;;7549999000057;Hilo de Coser;;
;;;;7909189077359;Crema Hidratante Avon Encanto;;
;;;;7798130950014;Pañuelos Descartables;;
;;;;7798105550096;Secador de Piso;;
;;;;7794626997945;Pañales Huggies XXG;;
;;;;7790400010503;Boligoma;;
;;;;7794626997938;Pañales Huggies XG;;
;;;;7792882000201;Queso Rallado La Quesera;;
;;;;7790742222909;Queso Rallado La Serenisima;;
;;;;7798569875698;Esencia de Vainilla;;
;;;;7792180130235;Biscochuelo Mama Cocina;;
;;;;7798094220161;Biscochuelo Nevares;;
;;;;7613034450074;Nesquik;;
;;;;7794000004825;Hellmans Mayonesa;;
;;;;7792900000787;Cheddar Dos Anclas;;
;;;;7794770100406;Yovinessa Aceitunas con Morron;;
;;;;7791675908380;Castell Aceitunas Descarozadas;;
;;;;7794000960442;Savora;;
;;;;7791866001197;Mayonesa Natura;;
;;;;7794000960756;Hellmans Ketchup;;
;;;;7794000960428;Savora Chica;;
;;;;7790070416780;Exquisita Gelatina - Cereza;;
;;;;7790070416766;Exquisita Gelatina - Frutilla;;
;;;;7798000820126;Pimienta Blanca;;
;;;;7798000820096;Rubino Provenzal;;
;;;;7622201106034;Royal Gelatina - Sin Savor;;
;;;;7622300871468;Royal Flan - Dulce de Leche;;
;;;;7790971001962;Ravana Postre - Vainilla;;
;;;;7798158710058;Especias 537 - Ají Molido;;
;;;;7798158710027;Especias 537 - Pimienta Molida;;
;;;;7790971001979;Ravana Postre - Caramelo;;
;;;;7790971000163;Ravana Postre - Musse de Chocolate;;
;;;;7798158710072;Especias 537 - Adobo Para Pizza;;
;;;;7798158710010;Especias 537 - Oregano;;
